"","which_table","variable","wt_field","category","survey_question","variable_logic","variable_label","value","value_label","value_logic"
"337",NA,"transit_freq",NA,"Shared mobility","How often do you use transit?","if adult ","How often uses transit","9","Never",NA
"338",NA,"transit_freq",NA,"Shared mobility","How often do you use transit?","if adult ","How often uses transit","995","Missing: Skip logic",NA
"339",NA,"transit_pay",NA,"Shared mobility","How do you typically pay for transit?","If uses transit","How typically pays for transit","-9998","Missing: Non-response",NA
"340",NA,"transit_pay",NA,"Shared mobility","How do you typically pay for transit?","If uses transit","How typically pays for transit","1","Pay using a Go-To card (e.g., Metropass, U-Pass, College Pass, Student Pass)",NA
"341",NA,"transit_pay",NA,"Shared mobility","How do you typically pay for transit?","If uses transit","How typically pays for transit","2","Pay per ride using cash, token, ticket, or credit card",NA
"342",NA,"transit_pay",NA,"Shared mobility","How do you typically pay for transit?","If uses transit","How typically pays for transit","3","Ride for free (e.g., Civil Servant, Disabled Veteran)",NA
"343",NA,"transit_pay",NA,"Shared mobility","How do you typically pay for transit?","If uses transit","How typically pays for transit","995","Missing: Skip logic",NA
"344",NA,"uses_bikeshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses bikeshare","-9998","Missing: Non-response",NA
"345",NA,"uses_bikeshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses bikeshare","0","No",NA
"346",NA,"uses_bikeshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses bikeshare","1","Yes",NA
"347",NA,"uses_bikeshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses bikeshare","995","Missing: Skip logic",NA
"348",NA,"uses_carshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses carshare (e.g., Car2Go, ZipCar)","-9998","Missing: Non-response",NA
"349",NA,"uses_carshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses carshare (e.g., Car2Go, ZipCar)","0","No",NA
"350",NA,"uses_carshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses carshare (e.g., Car2Go, ZipCar)","1","Yes",NA
"351",NA,"uses_carshare",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses carshare (e.g., Car2Go, ZipCar)","995","Missing: Skip logic",NA
"352",NA,"uses_p2p_share",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses peer-to-peer car rental (e.g., Turo, Getaround)","-9998","Missing: Non-response",NA
"353",NA,"uses_p2p_share",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses peer-to-peer car rental (e.g., Turo, Getaround)","0","No",NA
"354",NA,"uses_p2p_share",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses peer-to-peer car rental (e.g., Turo, Getaround)","1","Yes",NA
"355",NA,"uses_p2p_share",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses peer-to-peer car rental (e.g., Turo, Getaround)","995","Missing: Skip logic",NA
"356",NA,"uses_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses/takes Uber, Lyft, or other smartphone-app ride service","-9998","Missing: Non-response",NA
"357",NA,"uses_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses/takes Uber, Lyft, or other smartphone-app ride service","0","No",NA
"358",NA,"uses_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses/takes Uber, Lyft, or other smartphone-app ride service","1","Yes",NA
"359",NA,"uses_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses/takes Uber, Lyft, or other smartphone-app ride service","995","Missing: Skip logic",NA
"360",NA,"uses_vanpool",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses vanpool","-9998","Missing: Non-response",NA
"361",NA,"uses_vanpool",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses vanpool","0","No",NA
"362",NA,"uses_vanpool",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses vanpool","1","Yes",NA
"363",NA,"uses_vanpool",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses vanpool","995","Missing: Skip logic",NA
"364",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","-9998","Missing: Non-response",NA
"365",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","1","50 or more",NA
"366",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","2","40-49",NA
"367",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","3","35-39",NA
"368",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","4","30-34",NA
"369",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","5","20-29",NA
"370",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","6","10-19",NA
"371",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","7","Fewer than 10",NA
"372",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","8","Hours vary greatly week to week",NA
"373",NA,"work_hours",NA,"Commute","How many total hours (per week) do you typically work?","If employed full-time, part-time, self-employed or volunteer/intern","How many hours typically works per week","995","Missing: Skip logic",NA
"374",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","-9998","Missing: Non-response",NA
"375",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","1","Walk, jog, or roll using a mobility device)",NA
"376",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","2","Bicycle",NA
"377",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","3","Drive alone","If has license"
"378",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","4","Carpool with only family/household member(s)","If household has more than one member"
"379",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","5","Carpool with at least one person not in household",NA
"380",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","6","Motorcycle/moped/scooter",NA
"381",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","7","Bus (public transit)",NA
"382",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","8","Private shuttle bus (e.g., employer)",NA
"383",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","9","Paratransit",NA
"384",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","10","Vanpool",NA
"385",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","11","Taxi (e.g., Yellow Cab)",NA
"386",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","12","Uber, Lyft, or other smartphone-app ride service",NA
"387",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","13","Subway",NA
"388",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","14","Light rail",NA
"389",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","15","Intercity rail (e.g., Amtrak)",NA
"390",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","17","Northstar",NA
"391",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","995","Missing: Skip logic",NA
"392",NA,"work_mode",NA,"Commute",NA,"If doesn't drive for a living/doesn't always work from home. Derived for participation group 3.","Typical travel mode to work","997","Other mode",NA
"393",NA,"work_mode_seasonality",NA,"Commute","Does the way you typically travel to work vary by season?","If doesn't drive for a living/doesn't always work from home","Work mode varies by season","-9998","Missing: Non-response",NA
"394",NA,"work_mode_seasonality",NA,"Commute","Does the way you typically travel to work vary by season?","If doesn't drive for a living/doesn't always work from home","Work mode varies by season","1","Yes",NA
"395",NA,"work_mode_seasonality",NA,"Commute","Does the way you typically travel to work vary by season?","If doesn't drive for a living/doesn't always work from home","Work mode varies by season","2","No",NA
"396",NA,"work_mode_seasonality",NA,"Commute","Does the way you typically travel to work vary by season?","If doesn't drive for a living/doesn't always work from home","Work mode varies by season","995","Missing: Skip logic",NA
"397",NA,"work_offers_bike_tune",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bicycle tune-up/maintenance","-9998","Missing: Non-response",NA
"398",NA,"work_offers_bike_tune",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bicycle tune-up/maintenance","0","No",NA
"399",NA,"work_offers_bike_tune",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bicycle tune-up/maintenance","1","Yes",NA
"400",NA,"work_offers_bike_tune",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bicycle tune-up/maintenance","995","Missing: Skip logic",NA
"401",NA,"work_offers_bikeshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bikeshare membership","-9998","Missing: Non-response",NA
"402",NA,"work_offers_bikeshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bikeshare membership","0","No",NA
"403",NA,"work_offers_bikeshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bikeshare membership","1","Yes",NA
"404",NA,"work_offers_bikeshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized bikeshare membership","995","Missing: Skip logic",NA
"405",NA,"work_offers_carshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized carshare membership/use","-9998","Missing: Non-response",NA
"406",NA,"work_offers_carshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized carshare membership/use","0","No",NA
"407",NA,"work_offers_carshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized carshare membership/use","1","Yes",NA
"408",NA,"work_offers_carshare",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized carshare membership/use","995","Missing: Skip logic",NA
"409",NA,"work_offers_incentives",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers cash/incentives for carpooling, walking, or biking to work","-9998","Missing: Non-response",NA
"410",NA,"work_offers_incentives",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers cash/incentives for carpooling, walking, or biking to work","0","No",NA
"411",NA,"work_offers_incentives",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers cash/incentives for carpooling, walking, or biking to work","1","Yes",NA
"412",NA,"work_offers_incentives",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers cash/incentives for carpooling, walking, or biking to work","995","Missing: Skip logic",NA
"413",NA,"work_offers_none",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers none of the commute benefits asked about","-9998","Missing: Non-response",NA
"414",NA,"work_offers_none",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers none of the commute benefits asked about","0","No",NA
"415",NA,"work_offers_none",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers none of the commute benefits asked about","1","Yes",NA
"416",NA,"work_offers_none",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers none of the commute benefits asked about","995","Missing: Skip logic",NA
"417",NA,"work_offers_shuttle",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized shuttle service","-9998","Missing: Non-response",NA
"418",NA,"work_offers_shuttle",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized shuttle service","0","No",NA
"419",NA,"work_offers_shuttle",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized shuttle service","1","Yes",NA
"420",NA,"work_offers_shuttle",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized shuttle service","995","Missing: Skip logic",NA
"421",NA,"work_offers_tnc",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized Uber, Lyft, or other smartphone-app ride service","-9998","Missing: Non-response",NA
"422",NA,"work_offers_tnc",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized Uber, Lyft, or other smartphone-app ride service","0","No",NA
"423",NA,"work_offers_tnc",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized Uber, Lyft, or other smartphone-app ride service","1","Yes",NA
"424",NA,"work_offers_tnc",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized Uber, Lyft, or other smartphone-app ride service","995","Missing: Skip logic",NA
"425",NA,"work_offers_transit",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized transit fare","-9998","Missing: Non-response",NA
"426",NA,"work_offers_transit",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized transit fare","0","No",NA
"427",NA,"work_offers_transit",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized transit fare","1","Yes",NA
"428",NA,"work_offers_transit",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized transit fare","995","Missing: Skip logic",NA
"429",NA,"work_offers_vanpool",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized vanpool","-9998","Missing: Non-response",NA
"430",NA,"work_offers_vanpool",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized vanpool","0","No",NA
"431",NA,"work_offers_vanpool",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized vanpool","1","Yes",NA
"432",NA,"work_offers_vanpool",NA,"Commute","Which of the following commute benefits does your employer provide? Select all that apply.","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Employer offers free/subsidized vanpool","995","Missing: Skip logic",NA
"433",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","-9998","Missing: Non-response",NA
"434",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","1","Parking is always free at/near work, at park & ride, etc.",NA
"435",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","2","Employer pays ALL parking costs",NA
"436",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","3","Employer offers discounted parking",NA
"437",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","4","Personally pay all or some parking costs (employer pays none)",NA
"438",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","995","Missing: Skip logic",NA
"439",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","996","Not applicable (Never drive to work)","If doesn't drive alone"
"440",NA,"work_park_type",NA,"Commute","When you drive to work, how do you typically pay for parking?","If doesn't drive for a living/doesn't always work from home","Typical way of paying for parking at work (doesn't work from home/drive for a living)","998","Don't know",NA
"441",NA,"work_uses_bike_tune",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bicycle tune-up/maintenance","-9998","Missing: Non-response",NA
"442",NA,"work_uses_bike_tune",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bicycle tune-up/maintenance","0","No",NA
"443",NA,"work_uses_bike_tune",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bicycle tune-up/maintenance","1","Yes",NA
"444",NA,"work_uses_bike_tune",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bicycle tune-up/maintenance","995","Missing: Skip logic",NA
"445",NA,"work_uses_bikeshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bikeshare membership","-9998","Missing: Non-response",NA
"446",NA,"work_uses_bikeshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bikeshare membership","0","No",NA
"447",NA,"work_uses_bikeshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bikeshare membership","1","Yes",NA
"448",NA,"work_uses_bikeshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized bikeshare membership","995","Missing: Skip logic",NA
"449",NA,"work_uses_carshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized carshare membership","-9998","Missing: Non-response",NA
"450",NA,"work_uses_carshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized carshare membership","0","No",NA
"451",NA,"work_uses_carshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized carshare membership","1","Yes",NA
"452",NA,"work_uses_carshare",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized carshare membership","995","Missing: Skip logic",NA
"453",NA,"work_uses_incentives",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses cash/incentives for carpooling, walking, or biking to work","-9998","Missing: Non-response",NA
"454",NA,"work_uses_incentives",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses cash/incentives for carpooling, walking, or biking to work","0","No",NA
"455",NA,"work_uses_incentives",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses cash/incentives for carpooling, walking, or biking to work","1","Yes",NA
"456",NA,"work_uses_incentives",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses cash/incentives for carpooling, walking, or biking to work","995","Missing: Skip logic",NA
"457",NA,"work_uses_none",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses none of the above commute benefits","-9998","Missing: Non-response",NA
"458",NA,"work_uses_none",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses none of the above commute benefits","0","No",NA
"459",NA,"work_uses_none",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses none of the above commute benefits","1","Yes",NA
"460",NA,"work_uses_none",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses none of the above commute benefits","995","Missing: Skip logic",NA
"461",NA,"work_uses_shuttle",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized shuttle service","-9998","Missing: Non-response",NA
"462",NA,"work_uses_shuttle",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized shuttle service","0","No",NA
"463",NA,"work_uses_shuttle",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized shuttle service","1","Yes",NA
"464",NA,"work_uses_shuttle",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized shuttle service","995","Missing: Skip logic",NA
"465",NA,"work_uses_tnc",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized Uber, Lyft, or other smartphone-app ride service","-9998","Missing: Non-response",NA
"466",NA,"work_uses_tnc",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized Uber, Lyft, or other smartphone-app ride service","0","No",NA
"467",NA,"work_uses_tnc",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized Uber, Lyft, or other smartphone-app ride service","1","Yes",NA
"468",NA,"work_uses_tnc",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized Uber, Lyft, or other smartphone-app ride service","995","Missing: Skip logic",NA
"469",NA,"work_uses_transit",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized transit fare","-9998","Missing: Non-response",NA
"470",NA,"work_uses_transit",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized transit fare","0","No",NA
"471",NA,"work_uses_transit",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized transit fare","1","Yes",NA
"472",NA,"work_uses_transit",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized transit fare","995","Missing: Skip logic",NA
"473",NA,"work_uses_vanpool",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized vanpool","-9998","Missing: Non-response",NA
"474",NA,"work_uses_vanpool",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized vanpool","0","No",NA
"475",NA,"work_uses_vanpool",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized vanpool","1","Yes",NA
"476",NA,"work_uses_vanpool",NA,"Commute","Which of the following commute benefits do you currently use? Select all that apply.","If work offers this benefit","Uses free/subsidized vanpool","995","Missing: Skip logic",NA
"477",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","-9998","Missing: Non-response",NA
"478",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","1","In my house/apartment (includes garage, porch, storage area)","If purpose was ""home"""
"479",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","2","Bike rack",NA
"480",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","3","Bike locker",NA
"481",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","4","Secured bike room",NA
"482",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","5","Locked to other object (e.g., sign post, fence, tree)",NA
"483",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","6","Bike-share designated docking station","If bike-share"
"484",NA,"bike_park_loc",NA,"Trips",NA,"If used bike mode; if adult for participation groups 1 and 3","Bike parking location","7","Unlocked on-street",NA
