which_table,category,variable,variable_label,survey_question,variable_logic,value,value_label,wt_field
per,,education,Highest level of education completed,,"Asked for 18+, imputed for under 1",999,Prefer not to answer,person_weight
per,,employment_pre_covid,Employment status pre-covid,,Age 16+,1,Employed full-time (paid),person_weight
per,,employment_pre_covid,Employment status pre-covid,,Age 16+,2,Employed part-time (paid),person_weight
per,,employment_pre_covid,Employment status pre-covid,,Age 16+,3,Self-employed,person_weight
per,,employment_pre_covid,Employment status pre-covid,,Age 16+,5,"Not employed and not looking for work (e.g., retired, stay-at-home parent, student)",person_weight
per,,employment_pre_covid,Employment status pre-covid,,Age 16+,6,Unemployed and looking for work,person_weight
per,,employment_pre_covid,Employment status pre-covid,,Age 16+,7,Unpaid volunteer or intern,person_weight
per,,employment_pre_covid,Employment status pre-covid,,Age 16+,995,Missing,person_weight
per,,employment_status,Employment status,,If age >= 16,1,Employed full-time (paid),person_weight
per,,employment_status,Employment status,,If age >= 16,2,Employed part-time (paid),person_weight
per,,employment_status,Employment status,,If age >= 16,3,Self-employed,person_weight
per,,employment_status,Employment status,,If age >= 16,5,"Not employed and not looking for work (e.g., retired, stay-at-home parent, student)",person_weight
per,,employment_status,Employment status,,If age >= 16,6,Unemployed and looking for work,person_weight
per,,employment_status,Employment status,,If age >= 16,7,Unpaid volunteer or intern,person_weight
per,,employment_status,Employment status,,If age >= 16,8,"Employed, but not currently working (e.g., on leave, furloughed 100%)",person_weight
per,,employment_status,Employment status,,If age >= 16,995,Missing,person_weight
per,,ethnicity_afam,Race/Ethnicity -- Black or African American,,Adults only,0,Not selected,person_weight
per,,ethnicity_afam,Race/Ethnicity -- Black or African American,,Adults only,1,Selected,person_weight
per,,ethnicity_afam,Race/Ethnicity -- Black or African American,,Adults only,995,Missing,person_weight
per,,ethnicity_aiak,Race/Ethnicity -- American Indian or Alaska Native,,Adults only,0,Not selected,person_weight
per,,ethnicity_aiak,Race/Ethnicity -- American Indian or Alaska Native,,Adults only,1,Selected,person_weight
per,,ethnicity_aiak,Race/Ethnicity -- American Indian or Alaska Native,,Adults only,995,Missing,person_weight
per,,ethnicity_asian,Race/Ethnicity -- Asian,,Adults only,0,Not selected,person_weight
per,,ethnicity_asian,Race/Ethnicity -- Asian,,Adults only,1,Selected,person_weight
per,,ethnicity_asian,Race/Ethnicity -- Asian,,Adults only,995,Missing,person_weight
per,,ethnicity_dk,Race/Ethnicity -- Don't know,,Adults only,0,Not selected,person_weight
per,,ethnicity_dk,Race/Ethnicity -- Don't know,,Adults only,1,Selected,person_weight
per,,ethnicity_dk,Race/Ethnicity -- Don't know,,Adults only,995,Missing,person_weight
per,,ethnicity_hapi,Race/Ethnicity -- Native Hawaiian or other Pacific Islander,,Adults only,0,Not selected,person_weight
per,,ethnicity_hapi,Race/Ethnicity -- Native Hawaiian or other Pacific Islander,,Adults only,1,Selected,person_weight
per,,ethnicity_hapi,Race/Ethnicity -- Native Hawaiian or other Pacific Islander,,Adults only,995,Missing,person_weight
per,,ethnicity_hisp,"Race/Ethnicity -- Hispanic, Latino, or Spanish origin",,Adults only,0,Not selected,person_weight
per,,ethnicity_hisp,"Race/Ethnicity -- Hispanic, Latino, or Spanish origin",,Adults only,1,Selected,person_weight
per,,ethnicity_hisp,"Race/Ethnicity -- Hispanic, Latino, or Spanish origin",,Adults only,995,Missing,person_weight
per,,ethnicity_mideast,Race/Ethnicity -- Middle Eastern or North African,,Adults only,0,Not selected,person_weight
per,,ethnicity_mideast,Race/Ethnicity -- Middle Eastern or North African,,Adults only,1,Selected,person_weight
per,,ethnicity_mideast,Race/Ethnicity -- Middle Eastern or North African,,Adults only,995,Missing,person_weight
per,,ethnicity_other,"Race/Ethnicity -- Other race, ethnicity, or origin",,Adults only,0,Not selected,person_weight
per,,ethnicity_other,"Race/Ethnicity -- Other race, ethnicity, or origin",,Adults only,1,Selected,person_weight
per,,ethnicity_other,"Race/Ethnicity -- Other race, ethnicity, or origin",,Adults only,995,Missing,person_weight
per,,ethnicity_pnta,Race/Ethnicity -- Prefer not to answer,,Adults only,0,Not selected,person_weight
per,,ethnicity_pnta,Race/Ethnicity -- Prefer not to answer,,Adults only,1,Selected,person_weight
per,,ethnicity_pnta,Race/Ethnicity -- Prefer not to answer,,Adults only,995,Missing,person_weight
per,,ethnicity_white,Race/Ethnicity -- White,,Adults only,0,Not selected,person_weight
per,,ethnicity_white,Race/Ethnicity -- White,,Adults only,1,Selected,person_weight
per,,ethnicity_white,Race/Ethnicity -- White,,Adults only,995,Missing,person_weight
per,,ev_outlet,Parks electric vehicle within 20 feet of an electric outlet when parking at or near home,,If charges electric vehicle at or near home,1,Yes,person_weight
per,,ev_outlet,Parks electric vehicle within 20 feet of an electric outlet when parking at or near home,,If charges electric vehicle at or near home,2,No,person_weight
per,,ev_outlet,Parks electric vehicle within 20 feet of an electric outlet when parking at or near home,,If charges electric vehicle at or near home,995,Missing,person_weight
per,,ev_purchase,Consideration of purchasing a fully electric vehicle,,If household has at least one vehicle and fuel type of primary vehicle driven is not electric,1,"Yes, I have considered purchasing a fully electric vehicle and may purchase one in the next few years",person_weight
per,,ev_purchase,Consideration of purchasing a fully electric vehicle,,If household has at least one vehicle and fuel type of primary vehicle driven is not electric,2,"Yes, I have considered purchasing a fully electric vehicle, but am NOT likely to purchase one in the next few years",person_weight
per,,ev_purchase,Consideration of purchasing a fully electric vehicle,,If household has at least one vehicle and fuel type of primary vehicle driven is not electric,3,"No, I have not considered purchasing a fully electric vehicle",person_weight
per,,ev_purchase,Consideration of purchasing a fully electric vehicle,,If household has at least one vehicle and fuel type of primary vehicle driven is not electric,4,"Yes, I have already purchased a fully electric vehicle but no longer own it, or do not drive it as my primary vehicle",person_weight
per,,ev_purchase,Consideration of purchasing a fully electric vehicle,,If household has at least one vehicle and fuel type of primary vehicle driven is not electric,995,Missing,person_weight
per,,ev_typical_charge_1,Electric vehicle charging location -- At or near home,,If fuel type of primary vehicle driven is electric,0,Not selected,person_weight
per,,ev_typical_charge_1,Electric vehicle charging location -- At or near home,,If fuel type of primary vehicle driven is electric,1,Selected,person_weight
per,,ev_typical_charge_1,Electric vehicle charging location -- At or near home,,If fuel type of primary vehicle driven is electric,995,Missing,person_weight
per,,ev_typical_charge_2,Electric vehicle charging location -- At work,,If fuel type of primary vehicle driven is electric,0,Not selected,person_weight
per,,ev_typical_charge_2,Electric vehicle charging location -- At work,,If fuel type of primary vehicle driven is electric,1,Selected,person_weight
per,,ev_typical_charge_2,Electric vehicle charging location -- At work,,If fuel type of primary vehicle driven is electric,995,Missing,person_weight
per,,ev_typical_charge_3,"Electric vehicle charging location -- At a commute location (e.g., Park and Ride lot, parking garage/ramp)",,If fuel type of primary vehicle driven is electric,0,Not selected,person_weight
per,,ev_typical_charge_3,"Electric vehicle charging location -- At a commute location (e.g., Park and Ride lot, parking garage/ramp)",,If fuel type of primary vehicle driven is electric,1,Selected,person_weight
per,,ev_typical_charge_3,"Electric vehicle charging location -- At a commute location (e.g., Park and Ride lot, parking garage/ramp)",,If fuel type of primary vehicle driven is electric,995,Missing,person_weight
per,,ev_typical_charge_4,"Electric vehicle charging location -- At a shopping location (e.g., grocery store, shopping mall",,If fuel type of primary vehicle driven is electric,0,Not selected,person_weight
per,,ev_typical_charge_4,"Electric vehicle charging location -- At a shopping location (e.g., grocery store, shopping mall",,If fuel type of primary vehicle driven is electric,1,Selected,person_weight
per,,ev_typical_charge_4,"Electric vehicle charging location -- At a shopping location (e.g., grocery store, shopping mall",,If fuel type of primary vehicle driven is electric,995,Missing,person_weight
per,,ev_typical_charge_5,"Electric vehicle charging location -- (e.g., hospital, library, government building)",,If fuel type of primary vehicle driven is electric,0,Not selected,person_weight
per,,ev_typical_charge_5,"Electric vehicle charging location -- (e.g., hospital, library, government building)",,If fuel type of primary vehicle driven is electric,1,Selected,person_weight
per,,ev_typical_charge_5,"Electric vehicle charging location -- (e.g., hospital, library, government building)",,If fuel type of primary vehicle driven is electric,995,Missing,person_weight
per,,ev_typical_charge_6,Electric vehicle charging location -- At a hotel/inn,,If fuel type of primary vehicle driven is electric,0,Not selected,person_weight
per,,ev_typical_charge_6,Electric vehicle charging location -- At a hotel/inn,,If fuel type of primary vehicle driven is electric,1,Selected,person_weight
per,,ev_typical_charge_6,Electric vehicle charging location -- At a hotel/inn,,If fuel type of primary vehicle driven is electric,995,Missing,person_weight
per,,ev_typical_charge_997,Electric vehicle charging location -- Other,,If fuel type of primary vehicle driven is electric,0,Not selected,person_weight
per,,ev_typical_charge_997,Electric vehicle charging location -- Other,,If fuel type of primary vehicle driven is electric,1,Selected,person_weight
per,,ev_typical_charge_997,Electric vehicle charging location -- Other,,If fuel type of primary vehicle driven is electric,995,Missing,person_weight
per,,ev_typical_charge_other,NA,,NA,NA,NA,person_weight
per,,gender,Gender,,Asked only of related household members,1,Female,person_weight
per,,gender,Gender,,Asked only of related household members,2,Male,person_weight
per,,gender,Gender,,Asked only of related household members,3,Transgender,person_weight
per,,gender,Gender,,Asked only of related household members,4,Non-binary/third gender,person_weight
per,,gender,Gender,,Asked only of related household members,995,Missing,person_weight
per,,gender,Gender,,Asked only of related household members,997,Other/prefer to self-describe,person_weight
per,,gender,Gender,,Asked only of related household members,999,Prefer not to answer,person_weight
per,,hh_id,NA,,NA,NA,NA,person_weight
per,,home_vehicle_park,Park location at home,,NA,1,Home driveway/garage,person_weight
per,,home_vehicle_park,Park location at home,,NA,2,Parking lot/ramp/garage,person_weight
per,,home_vehicle_park,Park location at home,,NA,3,On-street parking,person_weight
per,,home_vehicle_park,Park location at home,,NA,995,Missing,person_weight
per,,home_vehicle_park,Park location at home,,NA,997,Other,person_weight
per,,home_vehicle_park_other,NA,,NA,NA,NA,person_weight
per,,home_vehicle_park_pay,Pays to park vehicle at home,,NA,1,Yes,person_weight
per,,home_vehicle_park_pay,Pays to park vehicle at home,,NA,2,No,person_weight
per,,home_vehicle_park_pay,Pays to park vehicle at home,,NA,995,Missing,person_weight
per,,job_type,Usual work location,,"If employed full-time, part-time, self-employed or volunteer/intern",1,Go to one work location ONLY (outside of home),person_weight
per,,job_type,Usual work location,,"If employed full-time, part-time, self-employed or volunteer/intern",2,Work location regularly varies (different offices/jobsites),person_weight
per,,job_type,Usual work location,,"If employed full-time, part-time, self-employed or volunteer/intern",3,"Work ONLY from home or remotely (telework, self-employed)",person_weight
per,,job_type,Usual work location,,"If employed full-time, part-time, self-employed or volunteer/intern",4,"Drive/bike/travel for work (driver, sales, deliveries)",person_weight
per,,job_type,Usual work location,,"If employed full-time, part-time, self-employed or volunteer/intern",5,Telework some days and travel to a work location some days,person_weight
per,,job_type,Usual work location,,"If employed full-time, part-time, self-employed or volunteer/intern",995,Missing,person_weight
per,,job_type_post_covid,Work location after Covid,,"If employed full-time, part-time, self-employed, volunteer/intern, or furloughed",1,Go to one work location ONLY (outside of home),person_weight
per,,job_type_post_covid,Work location after Covid,,"If employed full-time, part-time, self-employed, volunteer/intern, or furloughed",2,Work location regularly varies (different offices/jobsites),person_weight
per,,job_type_post_covid,Work location after Covid,,"If employed full-time, part-time, self-employed, volunteer/intern, or furloughed",3,"Work ONLY from home or remotely (telework, self-employed)",person_weight
per,,job_type_post_covid,Work location after Covid,,"If employed full-time, part-time, self-employed, volunteer/intern, or furloughed",4,"Drive/bike/travel for work (driver, sales, deliveries)",person_weight
per,,job_type_post_covid,Work location after Covid,,"If employed full-time, part-time, self-employed, volunteer/intern, or furloughed",5,Telework some days and travel to a work location some days,person_weight
per,,job_type_post_covid,Work location after Covid,,"If employed full-time, part-time, self-employed, volunteer/intern, or furloughed",995,Missing,person_weight
per,,job_type_pre_covid,Work location prior to Covid,,"If employment_pre_covid is full-time, part-time, self-employed, or volunteer/intern",1,Went to one work location ONLY (outside of home),person_weight
per,,job_type_pre_covid,Work location prior to Covid,,"If employment_pre_covid is full-time, part-time, self-employed, or volunteer/intern",2,Work location regularly varied (different offices/jobsites),person_weight
per,,job_type_pre_covid,Work location prior to Covid,,"If employment_pre_covid is full-time, part-time, self-employed, or volunteer/intern",3,"Worked ONLY from home or remotely (telework, self-employed)",person_weight
per,,job_type_pre_covid,Work location prior to Covid,,"If employment_pre_covid is full-time, part-time, self-employed, or volunteer/intern",4,"Drove/biked/traveled for work (driver, sales, deliveries)",person_weight
per,,job_type_pre_covid,Work location prior to Covid,,"If employment_pre_covid is full-time, part-time, self-employed, or volunteer/intern",5,Teleworked some days and traveled to a work location some days,person_weight
per,,job_type_pre_covid,Work location prior to Covid,,"If employment_pre_covid is full-time, part-time, self-employed, or volunteer/intern",995,Missing,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,1,English,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,2,Hmong,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,3,Karen,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,4,Oromo,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,5,Somali,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,6,Spanish,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,995,Missing,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,997,Other,person_weight
per,,language_at_home,Speaks a language other than English at home,,NA,999,Prefer not to answer,person_weight
per,,language_at_home_other,NA,,NA,NA,NA,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,1,6-7 days a week,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,2,5 days a week,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,3,4 days a week,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,4,2-3 days a week,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,5,1 day a week,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,6,1-3 days a month,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,7,Less than monthly,person_weight
per,,moped_share_freq,How often uses moped share programs,,If uses moped share,995,Missing,person_weight
per,,no_shared_mobility,Share -- None of the above,,NA,0,Not selected,person_weight
per,,no_shared_mobility,Share -- None of the above,,NA,1,None of the above,person_weight
per,,no_shared_mobility,Share -- None of the above,,NA,995,Missing,person_weight
per,,num_jobs,Number of jobs,,"If employed full-time, part-time, self-employed or volunteer/intern",1,1 job,person_weight
per,,num_jobs,Number of jobs,,"If employed full-time, part-time, self-employed or volunteer/intern",2,2 jobs,person_weight
per,,num_jobs,Number of jobs,,"If employed full-time, part-time, self-employed or volunteer/intern",3,3 jobs,person_weight
per,,num_jobs,Number of jobs,,"If employed full-time, part-time, self-employed or volunteer/intern",4,4 jobs,person_weight
per,,num_jobs,Number of jobs,,"If employed full-time, part-time, self-employed or volunteer/intern",5,5 jobs,person_weight
per,,num_jobs,Number of jobs,,"If employed full-time, part-time, self-employed or volunteer/intern",6,6 or more jobs,person_weight
per,,num_jobs,Number of jobs,,"If employed full-time, part-time, self-employed or volunteer/intern",995,Missing,person_weight
per,,num_person_days,Number of fully complete person days,,NA,1,1 day,person_weight
per,,num_person_days,Number of fully complete person days,,NA,2,2 days,person_weight
per,,num_person_days,Number of fully complete person days,,NA,3,3 days,person_weight
per,,num_person_days,Number of fully complete person days,,NA,4,4 days,person_weight
per,,num_person_days,Number of fully complete person days,,NA,5,5 days,person_weight
per,,num_person_days,Number of fully complete person days,,NA,6,6 days,person_weight
per,,num_person_days,Number of fully complete person days,,NA,7,7 days,person_weight
per,,other_school_mode_season_1,Season that school mode varies -- Spring,,If school mode varies by season,0,Not selected,person_weight
per,,other_school_mode_season_1,Season that school mode varies -- Spring,,If school mode varies by season,1,Selected,person_weight
per,,other_school_mode_season_1,Season that school mode varies -- Spring,,If school mode varies by season,995,Missing,person_weight
per,,other_school_mode_season_2,Season that school mode varies -- Summer,,If school mode varies by season,0,Not selected,person_weight
per,,other_school_mode_season_2,Season that school mode varies -- Summer,,If school mode varies by season,1,Selected,person_weight
per,,other_school_mode_season_2,Season that school mode varies -- Summer,,If school mode varies by season,995,Missing,person_weight
per,,other_school_mode_season_3,Season that school mode varies -- Fall,,If school mode varies by season,0,Not selected,person_weight
per,,other_school_mode_season_3,Season that school mode varies -- Fall,,If school mode varies by season,1,Selected,person_weight
per,,other_school_mode_season_3,Season that school mode varies -- Fall,,If school mode varies by season,995,Missing,person_weight
per,,other_school_mode_season_4,Season that school mode varies -- Winter,,If school mode varies by season,0,Not selected,person_weight
per,,other_school_mode_season_4,Season that school mode varies -- Winter,,If school mode varies by season,1,Selected,person_weight
per,,other_school_mode_season_4,Season that school mode varies -- Winter,,If school mode varies by season,995,Missing,person_weight
per,,other_work_mode_season_1,Season that work mode varies -- Spring,,If work mode varies by season,0,Not selected,person_weight
per,,other_work_mode_season_1,Season that work mode varies -- Spring,,If work mode varies by season,1,Selected,person_weight
per,,other_work_mode_season_1,Season that work mode varies -- Spring,,If work mode varies by season,995,Missing,person_weight
per,,other_work_mode_season_2,Season that work mode varies -- Summer,,If work mode varies by season,0,Not selected,person_weight
per,,other_work_mode_season_2,Season that work mode varies -- Summer,,If work mode varies by season,1,Selected,person_weight
per,,other_work_mode_season_2,Season that work mode varies -- Summer,,If work mode varies by season,995,Missing,person_weight
per,,other_work_mode_season_3,Season that work mode varies -- Fall,,If work mode varies by season,0,Not selected,person_weight
per,,other_work_mode_season_3,Season that work mode varies -- Fall,,If work mode varies by season,1,Selected,person_weight
per,,other_work_mode_season_3,Season that work mode varies -- Fall,,If work mode varies by season,995,Missing,person_weight
per,,other_work_mode_season_4,Season that work mode varies -- Winter,,If work mode varies by season,0,Not selected,person_weight
per,,other_work_mode_season_4,Season that work mode varies -- Winter,,If work mode varies by season,1,Selected,person_weight
per,,other_work_mode_season_4,Season that work mode varies -- Winter,,If work mode varies by season,995,Missing,person_weight
per,,participate,Willingness to participate in future transportation surveys,,NA,1,Yes,person_weight
per,,participate,Willingness to participate in future transportation surveys,,NA,2,No,person_weight
per,,participate,Willingness to participate in future transportation surveys,,NA,995,Missing,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,1,6-7 days a week,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,2,5 days a week,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,3,4 days a week,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,4,2-3 days a week,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,5,1 day a week,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,6,1-3 days a month,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,7,Less than monthly,person_weight
per,,peer_rent_freq,How often uses peer-to-peer car rental,,if adult and uses peer-to-peer car rental,995,Missing,person_weight
per,,person_id,NA,,NA,NA,NA,person_weight
per,,person_num,Person number within household,,NA,1,Person 1,person_weight
per,,person_num,Person number within household,,NA,2,Person 2,person_weight
per,,person_num,Person number within household,,NA,3,Person 3,person_weight
per,,person_num,Person number within household,,NA,4,Person 4,person_weight
per,,person_num,Person number within household,,NA,5,Person 5,person_weight
per,,person_num,Person number within household,,NA,6,Person 6,person_weight
per,,person_num,Person number within household,,NA,7,Person 7,person_weight
per,,person_num,Person number within household,,NA,8,Person 8,person_weight
per,,person_num,Person number within household,,NA,9,Person 9,person_weight
per,,person_num,Person number within household,,NA,10,Person 10,person_weight
per,,person_num,Person number within household,,NA,11,Person 11,person_weight
per,,person_num,Person number within household,,NA,12,Person 12,person_weight
per,,person_num,Person number within household,,NA,13,Person 13,person_weight
per,,person_num,Person number within household,,NA,995,Missing,person_weight
per,,person_weight,NA,,NA,NA,NA,person_weight
per,,phone_type,Type of phone,,NA,0,Does not have a smartphone,person_weight
per,,phone_type,Type of phone,,NA,1,Has an Android phone,person_weight
per,,phone_type,Type of phone,,NA,2,Has an Apple iPhone,person_weight
per,,phone_type,Type of phone,,NA,3,Has other smartphone type,person_weight
per,,phone_type,Type of phone,,NA,995,Missing,person_weight
per,,race_asian_1,Race/Ethnicity Asian -- Cambodian,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_1,Race/Ethnicity Asian -- Cambodian,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_1,Race/Ethnicity Asian -- Cambodian,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_2,Race/Ethnicity Asian -- Chinese,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_2,Race/Ethnicity Asian -- Chinese,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_2,Race/Ethnicity Asian -- Chinese,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_3,Race/Ethnicity Asian -- Hmong,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_3,Race/Ethnicity Asian -- Hmong,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_3,Race/Ethnicity Asian -- Hmong,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_4,Race/Ethnicity Asian -- Karen or Karenni,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_4,Race/Ethnicity Asian -- Karen or Karenni,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_4,Race/Ethnicity Asian -- Karen or Karenni,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_5,Race/Ethnicity Asian -- Lao,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_5,Race/Ethnicity Asian -- Lao,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_5,Race/Ethnicity Asian -- Lao,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_6,"Race/Ethnicity Asian -- South Asian (e.g., Indian, Pakistani, Bangladeshi)",,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_6,"Race/Ethnicity Asian -- South Asian (e.g., Indian, Pakistani, Bangladeshi)",,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_6,"Race/Ethnicity Asian -- South Asian (e.g., Indian, Pakistani, Bangladeshi)",,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_7,Race/Ethnicity Asian -- Vietnamese,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_7,Race/Ethnicity Asian -- Vietnamese,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_7,Race/Ethnicity Asian -- Vietnamese,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_997,Race/Ethnicity Asian -- Another Asian origin,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_997,Race/Ethnicity Asian -- Another Asian origin,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_997,Race/Ethnicity Asian -- Another Asian origin,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_998,Race/Ethnicity Asian -- Don't Know,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_998,Race/Ethnicity Asian -- Don't Know,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_998,Race/Ethnicity Asian -- Don't Know,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_999,Race/Ethnicity Asian -- Prefer not to answer,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",0,Not selected,person_weight
per,,race_asian_999,Race/Ethnicity Asian -- Prefer not to answer,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",1,Selected,person_weight
per,,race_asian_999,Race/Ethnicity Asian -- Prefer not to answer,,"Asked if responded """"Asian, Asian American"""" race/ethnicity",995,Missing,person_weight
per,,race_asian_other,NA,,NA,NA,NA,person_weight
per,,race_black_african_1,Race/Ethnicity Black African -- African American,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_1,Race/Ethnicity Black African -- African American,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
per,,race_black_african_1,Race/Ethnicity Black African -- African American,,"Asked if responded """"Black, African, African American"""" race/ethnicity",995,Missing,person_weight
per,,race_black_african_2,Race/Ethnicity Black African -- Ethiopian,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_2,Race/Ethnicity Black African -- Ethiopian,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
per,,race_black_african_2,Race/Ethnicity Black African -- Ethiopian,,"Asked if responded """"Black, African, African American"""" race/ethnicity",995,Missing,person_weight
per,,race_black_african_3,Race/Ethnicity Black African -- Oromo,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_3,Race/Ethnicity Black African -- Oromo,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
per,,race_black_african_3,Race/Ethnicity Black African -- Oromo,,"Asked if responded """"Black, African, African American"""" race/ethnicity",995,Missing,person_weight
per,,race_black_african_4,Race/Ethnicity Black African -- Somali,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_4,Race/Ethnicity Black African -- Somali,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
per,,race_black_african_4,Race/Ethnicity Black African -- Somali,,"Asked if responded """"Black, African, African American"""" race/ethnicity",995,Missing,person_weight
per,,race_black_african_5,Race/Ethnicity Black African -- Liberian,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_5,Race/Ethnicity Black African -- Liberian,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
per,,race_black_african_5,Race/Ethnicity Black African -- Liberian,,"Asked if responded """"Black, African, African American"""" race/ethnicity",995,Missing,person_weight
per,,race_black_african_997,Race/Ethnicity Black African -- Another Black African Origin,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_997,Race/Ethnicity Black African -- Another Black African Origin,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
per,,race_black_african_997,Race/Ethnicity Black African -- Another Black African Origin,,"Asked if responded """"Black, African, African American"""" race/ethnicity",995,Missing,person_weight
per,,race_black_african_998,Race/Ethnicity Black African -- Don't know,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_998,Race/Ethnicity Black African -- Don't know,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
per,,race_black_african_998,Race/Ethnicity Black African -- Don't know,,"Asked if responded """"Black, African, African American"""" race/ethnicity",995,Missing,person_weight
per,,race_black_african_999,Race/Ethnicity Black African -- Prefer not to answer,,"Asked if responded """"Black, African, African American"""" race/ethnicity",0,Not selected,person_weight
per,,race_black_african_999,Race/Ethnicity Black African -- Prefer not to answer,,"Asked if responded """"Black, African, African American"""" race/ethnicity",1,Selected,person_weight
